Workout,Body Weight (lbs),Date,Exercises,Rating
Pull Day 1,161.4,"July 14, 2024 5:35 AM (EDT)","RG Lat Pulldown (https://www.notion.so/RG-Lat-Pulldown-2ba84509a298433cbdc38837b97c4470?pvs=21), CG Seated Cable Row (https://www.notion.so/CG-Seated-Cable-Row-bdc693242b334b878aaa4ba93557d732?pvs=21), Upright Row (https://www.notion.so/Upright-Row-f7859ba9b2a245ef86bc1170721af33b?pvs=21), DB High Pull (https://www.notion.so/DB-High-Pull-ae8c2254bc164baead3dd5c048499ecd?pvs=21)",7
Arm Day 1,162.2,"July 15, 2024 4:00 PM (EDT)","DB Hammer Curl (https://www.notion.so/DB-Hammer-Curl-06c131cde206419e9a9b806a9a653b48?pvs=21), EZ Curl (https://www.notion.so/EZ-Curl-ee602542fbba474a99063e248b89c233?pvs=21), WG Seated Cable Row (https://www.notion.so/WG-Seated-Cable-Row-b98e51700d804a7fb7e3c1b1ecb2266d?pvs=21), SB Cable Bicep Curl (2x-9) (https://www.notion.so/SB-Cable-Bicep-Curl-2x-9-1e2cf79a4bc240f58efb34b645f16efa?pvs=21)",6
Leg Day 1,162.8,"July 19, 2024 5:00 PM (EDT)","Sled Press (https://www.notion.so/Sled-Press-f96ed558e9834202b4f31606b881ee2a?pvs=21), Machine Hip Thrust (https://www.notion.so/Machine-Hip-Thrust-0706f9b326034152812509e2a6d4648a?pvs=21), SM HR Squat (https://www.notion.so/SM-HR-Squat-3b8893e9bae642f9994fc7a64a2754f4?pvs=21)",7
"Push Day 1 ",162.7,"July 17, 2024 4:30 PM (EDT)","SM Bench Press (https://www.notion.so/SM-Bench-Press-afaac82ff0d6466fb61cc143590a26df?pvs=21), Military Press (https://www.notion.so/Military-Press-da34f58b476040d29e3a83b24160cdd7?pvs=21), Machine Tricep Extension(2x-9) (https://www.notion.so/Machine-Tricep-Extension-2x-9-a880e7dc533d4be9b6e214ece89c9760?pvs=21), Cable Decline Fly (https://www.notion.so/Cable-Decline-Fly-8fb17365a2934e7fa98f54e355e9fd4e?pvs=21)",7
Push Day 2,162,"July 21, 2024 12:30 PM (EDT)","Bench Press (https://www.notion.so/Bench-Press-e4e779e6892f4bfeb614d421019b4ea2?pvs=21), Machine Shoulder Press (https://www.notion.so/Machine-Shoulder-Press-fed1fd692b354d4e8b4b2c3c1fa810aa?pvs=21), Machine Pec Fly (1x-20) (https://www.notion.so/Machine-Pec-Fly-1x-20-a755129ee444414d82f780b480594a18?pvs=21)",6
Pull Day 2,163,"July 22, 2024 5:00 PM (EDT)","WG Lat Pulldown (https://www.notion.so/WG-Lat-Pulldown-0753ae1ac5474a53a41e9db218861042?pvs=21), NG Lat Pulldown (https://www.notion.so/NG-Lat-Pulldown-f483800746ec46c59cf87b39f391cf77?pvs=21)",4
Arm Day 2,163,"July 24, 2024 1:00 PM (EDT)","Upright Row (https://www.notion.so/Upright-Row-51264b6fab574935bd470371951b0a98?pvs=21), DB High Pull (https://www.notion.so/DB-High-Pull-c07d2a7eb906413b929d2238492f9d8d?pvs=21), SB Tricep Pushdown(F) (https://www.notion.so/SB-Tricep-Pushdown-F-40614e9f249c4f46a3ed2fbeebfc2e40?pvs=21), SB Cable Bicep Curl(F) (https://www.notion.so/SB-Cable-Bicep-Curl-F-1bb86c37fbf24cf39d94fde126bba269?pvs=21), Weighted Dips (https://www.notion.so/Weighted-Dips-8b69137079ab484895cf94364618eee3?pvs=21), Face Pulls (https://www.notion.so/Face-Pulls-67c44d7e766d425eafff7e6c7992b237?pvs=21)",8
Leg Day 2,163,"July 26, 2024 4:30 PM (EDT)","Hack Squat (https://www.notion.so/Hack-Squat-b41d83f47d0140bc8eb8d1896a1549ac?pvs=21), DB RDL (https://www.notion.so/DB-RDL-38ccb24030bc414a8518bb875d0847ff?pvs=21), Good Morning (https://www.notion.so/Good-Morning-a7df7ee61ef848399e5e8c9a33575ee7?pvs=21), Leg Extension(3x-20) (https://www.notion.so/Leg-Extension-3x-20-cb7572459ab64ba89f3f689d23a09e1f?pvs=21), Leg Press(F) (https://www.notion.so/Leg-Press-F-e00fbb50a0214c53bbe218c3cef0219d?pvs=21)",8
Push Day 3,162.8,"July 29, 2024 3:30 PM (EDT)","Machine Press (https://www.notion.so/Machine-Press-42fd9bd17aab4a93afe8dd0be7acd127?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-f275e788f0ae4f9d975ba1f81c82f4d8?pvs=21), Incline DB Chest Fly (https://www.notion.so/Incline-DB-Chest-Fly-b92ef65d07014c83a353e7039f086136?pvs=21), DB Rear Delt Fly (https://www.notion.so/DB-Rear-Delt-Fly-4267926d109a43e486b2fc1467474ff0?pvs=21), DB Lateral Raise (https://www.notion.so/DB-Lateral-Raise-95185f91597c462abafe7566effd727e?pvs=21)",8
Pull Day 3,163.8,"July 30, 2024 4:30 PM (EDT)","WG Seated Machine Row (https://www.notion.so/WG-Seated-Machine-Row-ad75d0b746b04771b908be67380e4cca?pvs=21), Gorilla Row (https://www.notion.so/Gorilla-Row-e6299532135d426dbfeff60d327b709b?pvs=21), RG Lat Pulldown (https://www.notion.so/RG-Lat-Pulldown-2edce12324e14a4289628bc8c276675a?pvs=21), CG Lat Pulldown (https://www.notion.so/CG-Lat-Pulldown-cf975fe2955d4e809656e5f58700290f?pvs=21), WG Lat Pulldown (https://www.notion.so/WG-Lat-Pulldown-f57ffe9d1bd64b2581ccf66d3446269b?pvs=21)",7
Arm Day 3,166,"August 1, 2024 6:00 AM (EDT)","Skullcrushers (https://www.notion.so/Skullcrushers-d6fbb7bbd3444a83b034679eab5d3a1d?pvs=21), EZ Curl (https://www.notion.so/EZ-Curl-320e341fdaf7447f8505234bc69f700a?pvs=21), DB Hammer Curl (https://www.notion.so/DB-Hammer-Curl-409baf2e2c454e15b2d8d592ac44f992?pvs=21), Weighted Dips (https://www.notion.so/Weighted-Dips-76d995ef203c4f3fbe44a81f675ce924?pvs=21), Incline DB Curl (https://www.notion.so/Incline-DB-Curl-4afd3b9e97b54a08a435bad8ce795791?pvs=21), Standing DB Curl (https://www.notion.so/Standing-DB-Curl-593fe3a0da7d4eea88990b3f9ef542b5?pvs=21), Machine Lateral Raise(3x-13) (https://www.notion.so/Machine-Lateral-Raise-3x-13-e0c9d092eaee42588f4b36e63ce42a78?pvs=21)",7
Leg Day 3,165.8,"August 2, 2024 5:00 PM (EDT)","Barbell RDL (https://www.notion.so/Barbell-RDL-2e5a1c5e6fdf439697f8026c81daa41d?pvs=21), Back Squat (https://www.notion.so/Back-Squat-fe39fbe882254cd8a498ac5243584790?pvs=21), Back Squat(f) (https://www.notion.so/Back-Squat-f-646af288277a4cf79bb305376e9f441f?pvs=21)",6
Push Day 4,165.6,"August 3, 2024 12:30 PM (EDT)","Bench Press (https://www.notion.so/Bench-Press-80bf254a71d04c32992cd5dcd297647d?pvs=21), Incline DB Press (https://www.notion.so/Incline-DB-Press-04990d0dca364bfab21cbeaf911f2aa5?pvs=21), Machine Converging Shoulder Press(2x-9) (https://www.notion.so/Machine-Converging-Shoulder-Press-2x-9-9ae293462f84470296af6f4ba67f611b?pvs=21), Machine Converging Chest Press (2x-14) (https://www.notion.so/Machine-Converging-Chest-Press-2x-14-fe35b76afdce4e2fb47bb0512f3c425d?pvs=21)",7
Pull Day 4,167,"August 5, 2024 8:30 AM (EDT)","WG Lat Pulldown (https://www.notion.so/WG-Lat-Pulldown-f57ffe9d1bd64b2581ccf66d3446269b?pvs=21), NG Lat Pulldown (https://www.notion.so/NG-Lat-Pulldown-c3dfe60239b84f3392c2c337a228444e?pvs=21), Upright Row (https://www.notion.so/Upright-Row-4ae8a427394b42ac948806516a898f34?pvs=21), Bent-Over Row (https://www.notion.so/Bent-Over-Row-d91489d5c68543e9af2f3a99a9328758?pvs=21)",7
Arm Day 4,166.8,"August 6, 2024 5:00 PM (EDT)","Barbell Curl (1x-5) (https://www.notion.so/Barbell-Curl-1x-5-7e2d90ab65a041e6b33ab83a74c64b9c?pvs=21), CG Bench Press (https://www.notion.so/CG-Bench-Press-8245770b86824e0aa9ec4d7448f615e3?pvs=21), Machine Bicep Curl(3x-13) (https://www.notion.so/Machine-Bicep-Curl-3x-13-f12eb52d6c854cd78c3638152d853b7c?pvs=21), Machine Lateral Raise(3x-13) (https://www.notion.so/Machine-Lateral-Raise-3x-13-e0c9d092eaee42588f4b36e63ce42a78?pvs=21), Overhead Tricep Extension(f) (https://www.notion.so/Overhead-Tricep-Extension-f-8754f365430f4e53b354b12ce6785d15?pvs=21), Skullcrushers (https://www.notion.so/Skullcrushers-991872ff459343f0a57d33a716ff61e4?pvs=21)",7
Leg Day 4,166,"August 14, 2024 6:00 PM (EDT)","DB RDL (https://www.notion.so/DB-RDL-95ec5f13e2f84c66980dbf26eed3f829?pvs=21), SM HR Squat (https://www.notion.so/SM-HR-Squat-3ff83329395744f6bd9eadca2c1cbebf?pvs=21)",6
Push Day 5,166,"August 15, 2024 2:30 PM (EDT)","Bench Press (https://www.notion.so/Bench-Press-9bc56f86dced4658ba668a4b505f324a?pvs=21), Bench Press (https://www.notion.so/Bench-Press-ece17082651e4424add2ff925598c20c?pvs=21), Bench Press (https://www.notion.so/Bench-Press-f5c114d80641418398a3efdea3fc8604?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-280fe945b14044ada2666331725ff279?pvs=21)",6
Pull Day 5,166.2,"August 16, 2024 12:00 PM (EDT)","WG Pull Ups(f) (https://www.notion.so/WG-Pull-Ups-f-f6aab77496764290b78620410eb5ffb2?pvs=21), NG Pull Ups(f) (https://www.notion.so/NG-Pull-Ups-f-ab1272368d044a0d8289b5ad4339dc33?pvs=21), DB High Pull (https://www.notion.so/DB-High-Pull-3d8a1a3b6256486dac64b0b4ad73a4e3?pvs=21), Upright Row (https://www.notion.so/Upright-Row-c1e52ee1cc6943188aa512fa1eeacfec?pvs=21), Machine Diverging Row(1x-21) (https://www.notion.so/Machine-Diverging-Row-1x-21-fff6551aa02980b9a1e3f2156a23b656?pvs=21)",7
Arm Day 5,165.6,"August 17, 2024 4:30 PM (EDT)","EZ Bar Curl (https://www.notion.so/EZ-Bar-Curl-3a45c85d924e4d318ef0ef576593da6d?pvs=21), Skullcrushers (https://www.notion.so/Skullcrushers-991872ff459343f0a57d33a716ff61e4?pvs=21), Cable Rear Delt Fly (https://www.notion.so/Cable-Rear-Delt-Fly-3098d66ea7cd4f31ba59b0e12f4b1b12?pvs=21), Cable Lateral Raise (https://www.notion.so/Cable-Lateral-Raise-fff6551aa02980bcaa03e2c4ab6295c0?pvs=21), Cable Bicep Curl(2x-4.5) (https://www.notion.so/Cable-Bicep-Curl-2x-4-5-3d843d3387af429fb66645bd87073168?pvs=21), Cable Tricep Pushdown (https://www.notion.so/Cable-Tricep-Pushdown-fff6551aa02980959e39cf8764ae7440?pvs=21)",8
